event,stadium,city,event_date,olympic,name,country,born,gender,place,age
100 metres,"White City Stadium, London","London, Great Britain",1908-07-22,1908 London Summer Games,Bobby Kerr,CAN,1882-06-09,Male,3,26.134246575342466
100 metres,"Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-23,2000 Sydney Summer Games,Maurice Greene,USA,1974-07-23,Male,1,26.18904109589041
100 metres,"Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-03,1936 Berlin Summer Games,Ralph Metcalfe,USA,1910-05-29,Male,2,26.2
100 metres,"National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-15,1964 Tokyo Summer Games,Enrique Figuerola,CUB,1938-07-15,Male,2,26.27123287671233
100 metres,"Montjuïc Olympic Stadium, Barcelona","Barcelona, Spain",1992-08-01,1992 Barcelona Summer Games,Dennis Mitchell,USA,1966-02-20,Male,3,26.46301369863014
100 metres,"Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-23,2000 Sydney Summer Games,Ato Boldon,TTO,1973-12-30,Male,2,26.75068493150685
100 metres,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-24,1976 Montréal Summer Games,Valeriy Borzov,URS,1949-10-20,Male,3,26.778082191780822
100 metres,"Olympic Stadium, Seoul Sports Complex, Seoul","Seoul, South Korea",1988-09-24,1988 Seoul Summer Games,Carl Lewis,USA,1961-07-01,Male,1,27.252054794520546
100 metres,"Colombes Olympic Stadium, Colombes","Paris, France",1924-07-07,1924 Paris Summer Games,Jackson Scholz,USA,1897-03-15,Male,2,27.328767123287673
100 metres,"Olympic Stadium, Seoul Sports Complex, Seoul","Seoul, South Korea",1988-09-24,1988 Seoul Summer Games,Calvin Smith,USA,1961-01-08,Male,3,27.72876712328767
100 metres,"Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-25,1980 Moskva Summer Games,Allan Wells,GBR,1952-05-03,Male,1,28.246575342465754
100 metres,"Olympic Stadium, Seoul Sports Complex, Seoul","Seoul, South Korea",1988-09-24,1988 Seoul Summer Games,Linford Christie,GBR,1960-04-02,Male,2,28.4986301369863
100 metres,"Centennial Olympic Stadium, Atlanta, Georgia","Atlanta, United States",1996-07-27,1996 Atlanta Summer Games,Donovan Bailey,CAN,1967-12-16,Male,1,28.632876712328766
100 metres,"Centennial Olympic Stadium, Atlanta, Georgia","Atlanta, United States",1996-07-27,1996 Atlanta Summer Games,Frankie Fredericks,NAM,1967-10-02,Male,2,28.838356164383562
100 metres,"Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-21,1952 Helsinki Summer Games,Herb McKenley,JAM,1922-07-10,Male,2,30.052054794520547
100 metres,"Panathenaic Stadium, Athina","Athina, Greece",1906-04-27,1906 Athina Summer Games,Fay Moulton,USA,1876-04-07,Male,2,30.07123287671233
100 metres,"Olympic Stadium, Athens Olympic Sports Complex Spiros Loues, Maroussi","Athina, Greece",2004-08-22,2004 Athina Summer Games,Maurice Greene,USA,1974-07-23,Male,3,30.104109589041094
100 metres,"Empire Stadium, Wembley, London","London, Great Britain",1948-07-31,1948 London Summer Games,Barney Ewell,USA,1918-02-25,Male,2,30.44931506849315
100 metres,"Olympic Stadium, Olympic Park, Stratford, London","London, Great Britain",2012-08-05,2012 London Summer Games,Justin Gatlin,USA,1982-02-10,Male,3,30.504109589041096
100 metres,"Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-21,1952 Helsinki Summer Games,McDonald Bailey,GBR,1920-12-08,Male,3,31.638356164383563
